"","X","ecoff.zd","ecoff.calc","num.comp","num.obs"
"151",151,24,28.1266386457089,3,1104
"152",152,15,18.9619903267352,2,306
"153",153,20,19.0995697436781,1,739
"154",154,16,15.6654882628094,1,794
"155",155,8,11.2673259000353,3,4776
"156",156,8,15.2920568276968,2,1158
"157",157,16,19.0595598496305,4,18681
"158",158,16,15.7854411573632,1,921
"159",159,17,16.4898639150497,3,2502
"160",160,16,17.1999915183731,2,1273
"161",161,15,14.1302153160296,2,4095
"162",162,16,16.5896449146264,2,420
"163",163,18,18.7096699101254,2,10531
"164",164,22,22.4961471024062,2,1063
"165",165,22,24.4805324320068,2,334
"166",166,21,21.2890488105194,2,1157
"167",167,21,7.99295038363342,1,807
"168",168,24,25.1270040952703,2,4600
"169",169,20,15.1506138128566,1,309
"170",170,23,23.6833522227133,2,1106
"171",171,32,32.9713730095859,1,131
"172",172,20,11.5457169328855,5,4096
"173",173,25,24.5454737501352,2,865
"174",174,30,31.2929854413655,1,308
"175",175,24,24.6581454278505,2,257
"176",176,28,29.2953207052619,1,131
"177",177,20,23.3933252729257,2,363
"178",178,24,25.9601069954319,2,155
"179",179,18,18.0584688008757,1,138
"180",180,19,19.2109857269696,2,203
"181",181,19,18.9192573297368,2,919
"182",182,19,19.8951438656526,1,800
"183",183,19,20.1710558470839,2,8488
"184",184,19,21.8528534910785,1,494
"185",185,19,20.3611772372739,1,173
"186",186,22,21.7783711979657,1,204
"187",187,20,23.1228008590014,3,41715
"188",188,19,20.2469139314554,2,3713
"189",189,25,25.3354503999144,1,244
"190",190,25,26.983158730755,1,139
"191",191,25,24.7047957459719,1,632
"192",192,25,27.8110398538251,2,11131
"193",193,23,21.6945174952216,2,2737
"194",194,25,25.4935282718218,2,206
"195",195,25,25.9127498290814,1,627
"196",196,25,25.2870580591956,2,1671
"197",197,25,27.3194154353667,2,654
"198",198,37,34.0239824382911,1,380
"199",199,25,25.6600084974343,1,751
"200",200,24,24.4860035378059,2,4092
"201",201,27,26.4215647072948,1,403
"202",202,25,25.2854949375633,1,259
"203",203,24,25.7782437968573,1,434
"204",204,29,31.4600472789148,2,131
"205",205,23,24.3012195848012,2,383
"206",206,23,25.8929018548201,1,30
"207",207,23,22.7117040767007,1,155
"208",208,23,0,0,0
"209",209,23,23.2322349346601,1,69
"210",210,23,20.4688510907327,1,16
"211",211,23,26.99607816455,1,21
"212",212,25,13.2909274442659,2,138
"213",213,23,23.5508996103899,2,140
"214",214,23,23.625804423583,2,127
"215",215,24,22.4975714446974,2,178
"216",216,23,23.6843710858861,2,143
"217",217,23,21.9970042086264,2,1245
"218",218,29,28.5520854117103,1,307
"219",219,23,21.8017133014806,2,267
"220",220,26,28.0320537986199,1,131
"221",221,24,24.0428901366746,2,2079
"222",222,27,26.6663636838574,2,439
"223",223,24,26.0715325039161,1,98
"224",224,20,20.9317526252776,2,138
"225",225,22,23.5860818019351,2,261
"226",226,30,30.1817714975713,2,977
"227",227,23,24.6736969677524,3,3837
"228",228,23,22.6279991897871,1,380
"229",229,23,21.5439832872605,2,394
"230",230,12,0,0,0
"231",231,12,0,0,0
"232",232,12,0,0,0
"233",233,14,0,0,0
"234",234,15,0,0,0
"235",235,12,0,0,0
"236",236,18,0,0,0
"237",237,22,0,0,0
"238",238,22,0,0,0
"239",239,22,0,0,0
"240",240,22,0,0,0
"241",241,22,0,0,0
"242",242,22,0,0,0
"243",243,15,0,0,0
"244",244,11,0,0,0
"245",245,16,0,0,0
"246",246,17,0,0,0
"247",247,12,0,0,0
"248",248,25,0,0,0
"249",249,22,0,0,0
"250",250,17,0,0,0
"251",251,17,0,0,0
"252",252,17,0,0,0
"253",253,17,0,0,0
"254",254,12,0,0,0
"255",255,15,0,0,0
"256",256,15,0,0,0
"257",257,12,0,0,0
"258",258,15,0,0,0
"259",259,24,0,0,0
"260",260,30,0,0,0
"261",261,22,0,0,0
"262",262,27,0,0,0
"263",263,20,0,0,0
"264",264,20,0,0,0
"265",265,15,0,0,0
"266",266,20,0,0,0
"267",267,24,0,0,0
"268",268,19,0,0,0
"269",269,19,0,0,0
"270",270,19,0,0,0
"271",271,20,0,0,0
"272",272,17,0,0,0
"273",273,17,0,0,0
"274",274,20,0,0,0
"275",275,20,0,0,0
"276",276,19,0,0,0
"277",277,19,0,0,0
"278",278,19,0,0,0
"279",279,19,0,0,0
"280",280,19,0,0,0
"281",281,20,0,0,0
"282",282,17,0,0,0
"283",283,17,0,0,0
"284",284,20,0,0,0
"285",285,20,0,0,0
"286",286,19,0,0,0
"287",287,21,0,0,0
"288",288,23,0,0,0
"289",289,21,0,0,0
"290",290,20,0,0,0
"291",291,25,0,0,0
"292",292,26,0,0,0
"293",293,20,0,0,0
"294",294,23,0,0,0
"295",295,23,0,0,0
"296",296,25,0,0,0
"297",297,23,0,0,0
"298",298,16,0,0,0
"299",299,16,0,0,0
"300",300,15,0,0,0
"301",301,18,0,0,0
"302",302,12,0,0,0
"303",303,23,0,0,0
"304",304,22,0,0,0
"305",305,22,0,0,0
"306",306,25,0,0,0
"307",307,22,0,0,0
"308",308,30,0,0,0
"309",309,30,0,0,0
"310",310,25,0,0,0
"311",311,25,0,0,0
"312",312,24,0,0,0
"313",313,17,0,0,0
"314",314,22,0,0,0
"315",315,22,0,0,0
"316",316,24,0,0,0
"317",317,22,0,0,0
"318",318,22,0,0,0
"319",319,25,0,0,0
"320",320,22,0,0,0
"321",321,23,0,0,0
"322",322,18,0,0,0
"323",323,17,0,0,0
"324",324,17,0,0,0
"325",325,17,0,0,0
"326",326,17,0,0,0
"327",327,16,0,0,0
"328",328,16,0,0,0
"329",329,16,0,0,0
"330",330,16,0,0,0
"331",331,16,0,0,0
"332",332,16,0,0,0
"333",333,16,0,0,0
"334",334,16,0,0,0
"335",335,16,0,0,0
"336",336,16,0,0,0
"337",337,16,0,0,0
"338",338,18,0,0,0
"339",339,22,0,0,0
"340",340,22,0,0,0
"341",341,22,0,0,0
"342",342,20,0,0,0
"343",343,20,0,0,0
"344",344,19,0,0,0
"345",345,21,0,0,0
"346",346,20,0,0,0
"347",347,20,0,0,0
"348",348,18,0,0,0
"349",349,23,0,0,0
"350",350,19,0,0,0
"351",351,23,0,0,0
"352",352,23,0,0,0
"353",353,23,0,0,0
"354",354,23,0,0,0
"355",355,16,0,0,0
"356",356,23,0,0,0
"357",357,19,0,0,0
"358",358,29,0,0,0
"359",359,16,0,0,0
"360",360,23,0,0,0
"361",361,17,0,0,0
"362",362,16,0,0,0
"363",363,20,0,0,0
"364",364,18,0,0,0
"365",365,12,0,0,0
"366",366,12,0,0,0
"367",367,13,0,0,0
"368",368,16,0,0,0
